symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,days,
HERITGFOOD,26-12-2023,06-02-2024,303.4,316.5,486,6366.6,42,
HFCL,26-12-2023,24-01-2024,85.8,105.65,235,4664.75,29,
CASTROLIND,26-12-2023,17-01-2024,177.43,163.24,735,-10429.65,22,
AVANTIFEED,15-01-2024,23-01-2024,552.25,512.05,341,-13708.2,8,
RAIN,29-01-2024,12-02-2024,186,170.9,1396,-21079.6,14,
LINDEINDIA,26-03-2024,07-05-2024,6390.7,7983.1,22,35032.8,42,
DMART,26-03-2024,07-05-2024,4486.2,4660.45,86,14985.5,42,
LINDEINDIA,26-03-2024,19-04-2024,6390.7,7372.75,9,8838.45,24,
CARBORUNIV,01-04-2024,13-05-2024,1298.35,1506.75,90,18756,42,
CARBORUNIV,01-04-2024,02-05-2024,1298.35,1506.6,39,8121.75,31,
MUTHOOTFIN,08-04-2024,21-05-2024,1674.2,1703.4,77,2248.4,43,
HINDZINC,15-04-2024,27-05-2024,407.25,706.9,237,71017.05,42,
HINDZINC,15-04-2024,03-05-2024,407.25,470.1,92,5782.2,18,
CUB,22-04-2024,22-05-2024,156.7,143.9,615,-7872,30,
ESCORTS,29-04-2024,10-06-2024,3287.35,4051.9,20,15291,42,
BHARATFORG,29-04-2024,10-06-2024,1282,1580.8,34,10159.2,42,
AAVAS,29-04-2024,10-06-2024,1619.7,1735.3,33,3814.8,42,
ESCORTS,29-04-2024,16-05-2024,3287.35,3748.55,8,3689.6,17,
BHARATFORG,29-04-2024,16-05-2024,1282,1483,16,3216,17,
KOLTEPATIL,29-04-2024,10-05-2024,548.15,486.5,57,-3514.05,11,
EMAMILTD,21-05-2024,02-07-2024,511.45,723.35,170,36023,42,
BLUEDART,21-05-2024,02-07-2024,7288.85,8218.15,25,23232.5,42,
EMAMILTD,21-05-2024,30-05-2024,511.45,611.85,56,5622.4,9,
VARROC,21-05-2024,04-06-2024,581.05,512.9,161,-10972.15,14,
JISLJALEQS,21-05-2024,04-06-2024,64.55,55,1164,-11116.2,14,
BALKRISIND,21-05-2024,04-06-2024,3052.7,2897.55,102,-15825.3,14,
LALPATHLAB,27-05-2024,08-07-2024,1316.2,1453.2,94,12878,42,
ASTRAZEN,27-05-2024,04-06-2024,6432.8,5639.8,16,-12688,8,
JKPAPER,10-06-2024,09-07-2024,419.4,562.85,261,37440.45,29,
