equity,,equity,date,
1000000.00,,1000000.00,23-12-2022,00:00:00+05:30
1000000.00,,1000000.00,26-12-2022,00:00:00+05:30
1000000.00,,1000000.00,27-12-2022,00:00:00+05:30
1000000.00,,1000000.00,28-12-2022,00:00:00+05:30
1000000.00,,1000000.00,29-12-2022,00:00:00+05:30
1000000.00,,1000000.00,30-12-2022,00:00:00+05:30
1000000.00,,1000000.00,02-01-2023,00:00:00+05:30
1000000.00,,1000000.00,03-01-2023,00:00:00+05:30
1000000.00,,1000000.00,04-01-2023,00:00:00+05:30
1000000.00,,1000000.00,05-01-2023,00:00:00+05:30
1000000.00,,1000000.00,06-01-2023,00:00:00+05:30
1000000.00,,1000000.00,09-01-2023,00:00:00+05:30
1000000.00,,1000000.00,10-01-2023,00:00:00+05:30
1000000.00,,1000000.00,11-01-2023,00:00:00+05:30
1000000.00,,1000000.00,12-01-2023,00:00:00+05:30
1000000.00,,1000000.00,13-01-2023,00:00:00+05:30
1000000.00,,1000000.00,16-01-2023,00:00:00+05:30
1000000.00,,1000000.00,17-01-2023,00:00:00+05:30
1000000.00,,1000000.00,18-01-2023,00:00:00+05:30
1000000.00,,1000000.00,19-01-2023,00:00:00+05:30
1000000.00,,1000000.00,20-01-2023,00:00:00+05:30
1000000.00,,1000000.00,23-01-2023,00:00:00+05:30
1000000.00,,1000000.00,24-01-2023,00:00:00+05:30
1000000.00,,1000000.00,25-01-2023,00:00:00+05:30
1000000.00,,1000000.00,27-01-2023,00:00:00+05:30
1000000.00,,1000000.00,30-01-2023,00:00:00+05:30
1000000.00,,1000000.00,31-01-2023,00:00:00+05:30
1000000.00,,1000000.00,01-02-2023,00:00:00+05:30
1000000.00,,1000000.00,02-02-2023,00:00:00+05:30
1000000.00,,1000000.00,03-02-2023,00:00:00+05:30
1000000.00,,1000000.00,06-02-2023,00:00:00+05:30
1000000.00,,1000000.00,07-02-2023,00:00:00+05:30
1000000.00,,1000000.00,08-02-2023,00:00:00+05:30
1000000.00,,1000000.00,09-02-2023,00:00:00+05:30
1000000.00,,1000000.00,10-02-2023,00:00:00+05:30
1000000.00,,1000000.00,13-02-2023,00:00:00+05:30
1000000.00,,1000000.00,14-02-2023,00:00:00+05:30
1000000.00,,1000000.00,15-02-2023,00:00:00+05:30
1000000.00,,1000000.00,16-02-2023,00:00:00+05:30
1000000.00,,1000000.00,17-02-2023,00:00:00+05:30
1000000.00,,1000000.00,20-02-2023,00:00:00+05:30
1000000.00,,1000000.00,21-02-2023,00:00:00+05:30
1000000.00,,1000000.00,22-02-2023,00:00:00+05:30
1000000.00,,1000000.00,23-02-2023,00:00:00+05:30
1000000.00,,1000000.00,24-02-2023,00:00:00+05:30
1000000.00,,1000000.00,27-02-2023,00:00:00+05:30
1000000.00,,1000000.00,28-02-2023,00:00:00+05:30
1000000.00,,1000000.00,01-03-2023,00:00:00+05:30
1000000.00,,1000000.00,02-03-2023,00:00:00+05:30
1000000.00,,1000000.00,03-03-2023,00:00:00+05:30
1000000.00,,1000000.00,06-03-2023,00:00:00+05:30
1000000.00,,1000000.00,08-03-2023,00:00:00+05:30
1000000.00,,1000000.00,09-03-2023,00:00:00+05:30
1000000.00,,1000000.00,10-03-2023,00:00:00+05:30
1000000.00,,1000000.00,13-03-2023,00:00:00+05:30
