date,symbol,rs_score,reason
2023-12-18 00:00:00+05:30,WIPRO,-0.02,max positions (RS gap too small)
2023-12-18 00:00:00+05:30,TECHM,-0.04,max positions (RS gap too small)
2023-12-19 00:00:00+05:30,VRLLOG,0.06,max positions (RS gap too small)
2023-12-19 00:00:00+05:30,WIPRO,-0.03,max positions (RS gap too small)
2023-12-19 00:00:00+05:30,TECHM,-0.05,max positions (RS gap too small)
2023-12-20 00:00:00+05:30,VRLLOG,0.01,max positions (RS gap too small)
2023-12-20 00:00:00+05:30,WIPRO,-0.03,max positions (RS gap too small)
2023-12-20 00:00:00+05:30,TECHM,-0.07,max positions (RS gap too small)
2023-12-21 00:00:00+05:30,VRLLOG,0.01,max positions (RS gap too small)
2023-12-21 00:00:00+05:30,WIPRO,-0.03,max positions (RS gap too small)
2023-12-21 00:00:00+05:30,TECHM,-0.08,max positions (RS gap too small)
2023-12-22 00:00:00+05:30,VRLLOG,0.03,max positions (RS gap too small)
2023-12-22 00:00:00+05:30,WIPRO,0,max positions (RS gap too small)
2023-12-22 00:00:00+05:30,TECHM,-0.06,max positions (RS gap too small)
2023-12-26 00:00:00+05:30,LAURUSLABS,-0.01,max positions (RS gap too small)
2023-12-26 00:00:00+05:30,KAJARIACER,-0.05,max positions (RS gap too small)
2023-12-26 00:00:00+05:30,DCBBANK,-0.08,max positions (RS gap too small)
2023-12-27 00:00:00+05:30,LAURUSLABS,-0.04,max positions (RS gap too small)
2023-12-27 00:00:00+05:30,KAJARIACER,-0.06,max positions (RS gap too small)
2023-12-27 00:00:00+05:30,DCBBANK,-0.07,max positions (RS gap too small)
2023-12-28 00:00:00+05:30,DCBBANK,-0.02,max positions (RS gap too small)
2023-12-28 00:00:00+05:30,LAURUSLABS,-0.04,max positions (RS gap too small)
2023-12-28 00:00:00+05:30,KAJARIACER,-0.09,max positions (RS gap too small)
2023-12-29 00:00:00+05:30,LAURUSLABS,-0.04,max positions (RS gap too small)
2023-12-29 00:00:00+05:30,DCBBANK,-0.06,max positions (RS gap too small)
2023-12-29 00:00:00+05:30,KAJARIACER,-0.1,max positions (RS gap too small)
